year,gdp_growth_pct
1961,5.427843
1962,-0.852022
1963,-5.308197
1964,10.130298
1965,10.569433
1966,-0.659726
1967,3.191997
1968,4.822501
1969,9.679526
1970,3.045643
1971,5.658131
1972,1.628417
1973,2.811754
1974,5.533804
1975,-0.028412
1976,-2.018252
1977,6.934148
1978,-4.506125
1979,10.222763
1980,1.518784
1981,-5.189789
1982,-0.735659
1983,4.349093
1984,1.570739
1985,-5.189024
1986,6.153377
1987,2.704869
1988,-1.089933
1989,-7.156950
1990,-2.467214
1991,9.133111
1992,7.937292
1993,8.206979
1994,5.836201
1995,-2.845210
1996,5.526690
1997,8.111047
1998,3.850179
1999,-3.385457
2000,-0.788999
2001,-4.408840
2002,-10.894485
2003,8.837041
2004,9.029573
2005,8.851660
2006,8.047152
2007,9.007651
2008,4.057233
2009,-5.918525
2010,10.125398
2011,6.003952
2012,-1.026420
2013,2.405324
2014,-2.512615
2015,2.731160
2016,-2.080328
2017,2.818503
2018,-2.617396
2019,-2.000861
2020,-9.900485
2021,10.441812
2022,6.020745
2023,-1.855788
2024,-1.342931
2025,4.367333
