departamento,coop_share,canopy
25 de Mayo,0.25471698113207547,0.36902753540093847
Apostoles,0.11538461538461539,0.29789331470320846
Cainguas,0.1956521739130435,0.3860401134537678
Candelaria,0.22429906542056074,0.41675622410701363
Capital,0.09059926157341665,0.1900886840225501
Concepcion,0.10344827586206896,0.3820985031105173
Eldorado,0.06727574750830564,0.5115472729286636
G. M. Belgrano,0.23880597014925373,0.39745719678244484
Guarani,0.28940568475452194,0.29056030060242694
Iguazu,0.04721030042918455,0.34245782021970905
L. N. Alem,0.09653465346534654,0.3161804256326333
L.G. San Martin,0.11987381703470032,0.37107759178448035
Montecarlo,0.10059171597633136,0.5000121701871237
Obera,0.07000795544948289,0.37728768217703784
San Ignacio,0.167816091954023,0.38932380638279757
San Javier,0.14893617021276595,0.47649472960412287
San Pedro,0.23563218390804597,0.4938384448062335
