year,n,H,roll5,dH
1990,226,0.9194,0.968,
1991,244,0.9034,1.0116,-0.016
1992,317,1.0811,1.0364,0.1777
1993,325,1.1427,1.0945,0.0616
1994,358,1.1355,1.1511,-0.0072
1995,313,1.21,1.1768,0.0745
1996,308,1.186,1.1901,-0.024
1997,327,1.21,1.2212,0.024
1998,285,1.2088,1.2343,-0.0012
1999,323,1.2912,1.2369,0.0824
2000,340,1.2756,1.24,-0.0156
2001,287,1.1989,1.2543,-0.0767
2002,336,1.2257,1.2778,0.0268
2003,445,1.2803,1.2972,0.0546
2004,463,1.4084,1.3293,0.1281
2005,469,1.3727,1.357,-0.0357
2006,462,1.3594,1.3649,-0.0133
2007,472,1.3643,1.3596,0.0049
2008,387,1.3197,1.3542,-0.0446
2009,375,1.3819,1.3489,0.0622
2010,351,1.3456,1.3536,-0.0363
2011,377,1.3329,1.3653,-0.0127
2012,367,1.3878,1.3618,0.0549
2013,311,1.3781,1.4066,-0.0097
2014,317,1.3648,1.4386,-0.0133
2015,217,1.5692,1.462,0.2044
2016,209,1.4932,1.5159,-0.076
2017,231,1.5046,1.5844,0.0114
2018,201,1.6478,1.6213,0.1432
2019,236,1.7072,1.6684,0.0594
2020,330,1.7537,1.7107,0.0465
2021,364,1.7287,1.7201,-0.025
2022,383,1.7163,1.6777,-0.0124
2023,382,1.6946,1.5922,-0.0217
2024,260,1.495,1.558,-0.1996
2025,184,1.3262,1.5053,-0.1688
